date,close,volume,closecum
2015-12-14,1.42152187032,1338300672,85.0170528728
2015-12-15,1.34482968628,1445922048,86.3618825591
2015-12-16,0.634228065703,1508384768,86.9961106248
2015-12-17,2.62699982701,2005595904,89.6231104518
2015-12-18,-0.191910219025,1782489472,89.4312002328
2015-12-21,-0.0119423699386,1493729280,89.4192578628
2015-12-22,0.350928524153,1313451776,89.770186387
2015-12-23,-1.96876456942,1624717568,87.8014218176
2015-12-24,0.425224376083,1324104192,88.2266461936
2015-12-25,-0.0375566031662,1216205824,88.1890895905
2015-12-28,-2.11988277937,1549767680,86.0692068111
2015-12-29,0.524111811982,1276936960,86.5933186231
2015-12-30,1.07974261607,1351285504,87.6730612392
2015-12-31,-2.35526871074,1295863168,85.3177925284
2016-01-04,-8.20943476313,1224017408,77.1083577653
2016-01-05,-2.99108074694,1828932992,74.1172770183
2016-01-06,2.13681738717,1419445888,76.2540944055
2016-01-07,-8.58227669641,387552544,67.6718177091
2016-01-08,-0.333876351415,1650229376,67.3379413577
2016-01-11,-6.34204687437,1520892672,60.9958944833
2016-01-12,1.95470095777,1439659648,62.9505954411
2016-01-13,-4.08632052343,1246536832,58.8642749177
2016-01-14,5.59458892617,1564866688,64.4588638438
2016-01-15,-2.85561642878,1591029376,61.603247415
2016-01-18,2.93586735211,1626762752,64.5391147672
2016-01-19,3.06961038818,1770032256,67.6087251553
2016-01-20,-1.65267725865,1545118848,65.9560478967
2016-01-21,-4.1840692936,1494520320,61.7719786031
2016-01-22,1.76017466356,1360989184,63.5321532666
2016-01-25,0.429757171846,1133417728,63.9619104385
2016-01-26,-7.63272040704,1338570752,56.3291900314
2016-01-27,0.171410202468,1592652160,56.5006002339
2016-01-28,-4.55597469793,1145420416,51.944625536
2016-01-29,4.59511104607,1280987520,56.5397365821
2016-02-01,-0.0687038787602,1115608960,56.4710327033
2016-02-02,4.14473865795,1328764928,60.6157713612
2016-02-03,0.733681654634,1208984576,61.3494530159
2016-02-04,1.72306988763,1295538944,63.0725229035
2016-02-05,-1.38949106857,906470272,61.6830318349
2016-02-15,0.946692061845,1010066816,62.6297238968
2016-02-16,4.0195329071,1391217152,66.6492568039
2016-02-17,0.609285057393,1461849728,67.2585418613
2016-02-18,-1.10276476624,1401950080,66.155777095
2016-02-19,0.917198370906,1340724096,67.072975466
2016-02-22,1.56299892447,1509061504,68.6359743904
2016-02-23,-1.22218738811,1392660992,67.4137870023
2016-02-24,-0.648206881597,1288402176,66.7655801207
2016-02-25,-7.55978129916,1529895552,59.2057988215
2016-02-26,-1.09089052659,1236669312,58.114908295
2016-02-29,-6.66329184285,1317002624,51.4516164521
2016-03-01,2.88510416556,1345666176,54.3367206177
2016-03-02,4.27330549754,1694915456,58.6100261152
2016-03-03,-0.521807054308,1680547328,58.0882190609
2016-03-04,-4.9841161969,1522097536,53.104102864
2016-03-07,2.42737308742,1162316032,55.5314759514
2016-03-08,2.50131570056,1562742144,58.032791652
2016-03-09,-1.56718315086,1330367232,56.4656085011
2016-03-10,-1.71731158664,1050801792,54.7482969145
2016-03-11,-0.108313611789,848765568,54.6399833027
2016-03-14,4.56144340447,1613440512,59.2014267072
2016-03-15,-1.29541976583,1216706048,57.9060069413
2016-03-16,-0.970594715862,1222045568,56.9354122255
2016-03-17,5.55008298197,2107413888,62.4854952074
2016-03-18,4.33944827104,2559683840,66.8249434785
2016-03-21,2.25743501678,2554099712,69.0823784953
2016-03-22,-0.239421580452,2106000640,68.8429569148
2016-03-23,1.6835741247,1905279488,70.5265310395
2016-03-24,-1.74121975684,2140092928,68.7853112827
2016-03-25,-0.165963140325,1515400960,68.6193481423
2016-03-28,-0.74008860667,1626047232,67.8792595357
2016-03-29,-2.14289773308,1417051648,65.7363618026
2016-03-30,4.47074815521,1740597504,70.2071099578
2016-03-31,-0.466785812593,1812497664,69.7403241452
2016-04-01,-1.47063422637,1570124544,68.2696899188
2016-04-05,3.36229447317,1976493824,71.631984392
2016-04-06,0.768626728434,2091203584,72.4006111204
2016-04-07,-2.10518662923,2030234496,70.2954244912
2016-04-08,-0.833821025987,1794697216,69.4616034652
2016-04-11,2.38612443238,1994662528,71.8477278976
2016-04-12,-0.837748664889,1707821056,71.0099792327
2016-04-13,1.32503480541,2177663488,72.3350140381
2016-04-14,1.3242720732,1833497856,73.6592861113
2016-04-15,-0.633197297876,1452697728,73.0260888134
2016-04-18,-1.90862268128,1430977152,71.1174661322
2016-04-19,0.305747766699,1300432000,71.4232138989
2016-04-20,-5.60087479978,2166703616,65.8223390991
2016-04-21,-1.6351091883,1278406272,64.1872299108
2016-04-22,1.26824385995,1047191168,65.4554737707
2016-04-25,-0.472174022099,955799104,64.9832997486
2016-04-26,1.35708757712,891151808,66.3403873258
2016-04-27,-0.421487806496,1047919936,65.9188995193
2016-04-28,0.401470038121,1012327040,66.3203695574
2016-04-29,-0.765162309898,802464000,65.5552072475
